,Unnamed: 0,Year,Mileage,City,State,Vehicle Type,serviceTime,DepreciationRate,Gdp,Population
64,277947,2014,51582,ROSEVILLE, CA,Truck,4,0.9222366335206802,126352,36314
65,243999,2016,33703,WINCHESTER, KY,SUV,2,0.5521812080536913,6785,1480
66,126125,2014,38237,COLUMBIA, KY,Truck,4,0.9657068062827225,192177,6037
67,229086,2015,6289,COLUMBUS, OH,Sedan,3,0.6925373134328359,13820,0
68,336339,2014,38437,JACKSONVILLE, FL,Sedan,4,0.48551020408163265,3937,14910
69,301417,2011,57132,COLUMBUS, WI,Truck,7,0.6187465181058496,13820,3096
70,320816,2013,35553,PORTLAND, TX,SUV,5,0.4696308724832215,32143,647805
71,121451,2009,158217,COLUMBIA, SC,Truck,9,0.7666365007541478,192177,9044
72,240971,2015,42190,GRAND RAPIDS, MI,SUV,3,0.5403225806451613,60529,11242
73,253254,2015,76883,MADISON, TN,SUV,3,0.838870484303518,49853,690
74,239057,2014,34847,ROCHESTER, NY,Truck,4,0.8356267409470752,12567,30797
75,53638,2015,34490,LOUISVILLE, KY,SUV,3,0.645,76063,9335
76,284369,2013,120611,MONROE, LA,Truck,5,0.575759162303665,8027,10604
77,28904,2012,54813,LINCOLN, NE,SUV,6,0.616848083293895,20245,3730
78,271355,2014,44250,HOUSTON, TX,Sedan,4,0.4893061224489796,490074,960
79,109081,2009,94771,DAVENPORT, IA,Truck,9,0.6540423692174665,20020,257
80,262237,2014,43377,DULUTH, GA,SUV,4,0.5286129032258065,13317,29463
81,12863,2011,90246,ARLINGTON, TX,SUV,7,0.4167785234899329,535499,2153
82,100084,2017,13525,FAYETTEVILLE, AR,SUV,1,0.7540621549140243,17263,85257
83,207383,2001,194173,TUCSON, AZ,Truck,17,0.1569371727748691,39033,535677
84,112941,2008,102577,SACRAMENTO, CA,Sedan,10,0.22215555555555555,126352,501901
85,341744,2013,44702,BLOOMINGTON, MN,SUV,5,0.5201006711409396,12369,85866
86,213775,2009,81379,COLUMBIA, PA,SUV,9,0.41009622968922543,192177,38266
87,241119,2014,61031,GREAT FALLS, MT,Truck,4,0.7320651390690301,3486,58876
88,269030,2015,19117,BURLINGTON, NJ,Truck,3,0.8566230366492147,5441,1206
89,1375,2015,50905,WINCHESTER, TN,SUV,3,0.9618470315564271,6785,8502
90,26527,2017,28287,FLORENCE, KY,SUV,1,0.771510067114094,8555,440
91,55300,2014,35467,LOUISVILLE, KY,SUV,4,0.6370967741935484,76063,4142
92,55276,2014,22513,FAYETTEVILLE, NC,Truck,4,0.9624153336215593,17263,17802
93,76242,2012,74787,TAMPA, FL,Truck,6,0.5994240837696335,146349,385430
94,354574,2014,40032,ORLANDO, FL,Sedan,4,0.5460138332726611,132448,280257
95,95800,2011,39052,CARMEL, NY,Truck,7,0.6963788300835655,143873,92198
96,112056,2014,43443,DAYTON, OH,Sedan,4,0.41507237256135937,41110,7969
97,318867,2017,17595,TUCSON, AZ,SUV,1,0.6946308724832215,39033,535677
98,52256,2009,80072,WEST PALM BEACH, FL,Truck,9,0.5209424083769634,344881,110222
99,98327,2013,111245,PENSACOLA, FL,Truck,5,0.6767015706806283,18015,52590
100,67510,2014,90135,FRANKLIN, TN,Truck,4,0.6801047120418848,133251,135
101,19084,2016,39426,FAIRFIELD, OH,SUV,2,0.5934516129032258,21421,369
102,222960,2015,88766,WASHINGTON, NC,Truck,3,0.9418848167539267,529990,13966
103,224918,2010,99980,LAFAYETTE, IN,SUV,8,0.6416473524692459,22113,28328
104,148812,2016,48305,ALBANY, GA,Sedan,2,0.5275645059786029,5482,2695
105,66283,2015,35685,HOUSTON, TX,SUV,3,0.9145922069727086,490074,960
106,92218,2014,60776,FRANKLIN, WI,Truck,4,0.7636547052889465,133251,6137
107,185673,2014,22583,SEATTLE, WA,Sedan,4,0.5221224489795918,356572,724745
108,342486,2016,21655,SALISBURY, MD,Truck,2,0.8885793871866295,19659,1536
109,247538,2015,21023,SPRINGFIELD, MO,Truck,3,0.8610471204188481,10250,2022
110,273394,2014,44037,MARION, IA,SUV,4,0.5032258064516129,5287,771
111,347886,2014,93568,FRANKLIN, TN,SUV,4,0.5989903770310775,133251,36143
112,53792,2011,79416,COLUMBUS, GA,Sedan,7,0.4186385147433564,13820,3096
113,89271,2009,96000,CANTON, OH,SUV,9,0.748618292030665,16771,347
114,306368,2016,19819,HOUSTON, TX,Truck,2,0.9945549738219895,490074,960
115,334876,2015,19838,CINCINNATI, OH,SUV,3,0.5473870967741935,138033,301301
116,142179,2016,81879,MADISON, TN,Truck,2,0.6803141361256545,49853,7322
117,285916,2012,122312,DOVER, DE,SUV,6,0.688037083259048,7337,755
118,330407,2014,40782,BIRMINGHAM, AL,Truck,4,0.4436910994764398,64553,426
119,80614,2008,158278,CINCINNATI, OH,Truck,10,0.38983286908077996,138033,340
120,183016,2015,43170,COLUMBIA, KY,Truck,3,0.7848167539267016,192177,4881
121,309207,2015,38520,CHARLOTTE, NC,Sedan,3,0.6914816163087004,174029,370
122,202576,2015,21565,OCALA, FL,Sedan,3,0.5222466960352423,8653,59110
123,257583,2014,44323,COLUMBIA, MO,Sedan,4,0.509795918367347,192177,133114
124,264951,2015,31349,MURFREESBORO, TN,Sedan,3,0.48975510204081635,133251,136372
125,12172,2013,73752,FRANKLIN, IN,Truck,5,0.7119109947643979,133251,36143
126,4373,2015,35495,OWENSBORO, KY,Sedan,3,0.5917142857142857,5635,59404
127,363709,2014,30364,NEW HAVEN, IN,Truck,4,0.8929816976509584,45251,15560
128,228049,2008,164858,BROWNSVILLE, TX,Truck,10,0.3620157068062827,10196,833
129,114731,2015,28743,COLUMBUS, OH,SUV,3,0.5645161290322581,13820,139
130,294608,2017,25921,NASHVILLE, TN,Sedan,1,0.5160478288231592,133251,4472
131,122139,2012,48257,WILMINGTON, OH,Truck,6,0.523324607329843,444975,71106
132,68837,2014,56643,LOUISVILLE, KY,Truck,4,0.6803141361256545,76063,21128
133,18920,2015,16821,SPRINGFIELD, NJ,SUV,3,0.94636377977599,10250,5197
134,28161,2013,19116,NEWTON, NJ,Sedan,5,0.6188205314888969,438683,18869
135,133516,2011,75985,PORTLAND, OR,Truck,7,0.6620550511601095,32143,647805
136,201008,2015,31503,DECATUR, AL,Truck,3,0.837434554973822,5466,1799
137,118647,2017,4634,LANCASTER, PA,Sedan,1,0.8977555555555555,28937,40280
138,128822,2016,32805,NEWPORT NEWS, VA,SUV,2,0.8780564757848242,94855,179388
139,334750,2016,46852,LANCASTER, CA,Sedan,2,0.5661107614852108,28937,40280
140,337618,2015,47585,HOUSTON, TX,SUV,3,0.8960403849187569,490074,2347
141,118391,2014,53087,JACKSON, MS,SUV,4,0.895851080612084,3937,66847
142,356512,2015,26915,JACKSON, MS,Sedan,3,0.47183763373190685,3937,4740
143,29469,2016,15826,FRANKLIN, TN,Sedan,2,0.49043423536815606,133251,8176
144,260632,2016,42625,CHARLOTTE, NC,Sedan,2,0.4089049716803021,174029,1812
145,201719,2014,44509,CHARLOTTE, NC,Sedan,4,0.7084666666666667,174029,859035
146,62470,2016,29377,KNOXVILLE, TN,Sedan,2,0.6036326530612245,41459,2795
147,313713,2015,21904,FOLEY, AL,SUV,3,0.9425776936425304,7322,2634
148,48895,2017,6,DECATUR, AL,Truck,1,0.7536649214659686,5466,182
149,135119,2015,53630,TROY, MO,Sedan,3,0.5034612964128382,54301,49565
150,329918,2007,111102,COLUMBUS, OH,Truck,11,0.2617801047120419,13820,4065
151,8014,2014,36258,MACON, GA,Sedan,4,0.40874764002517305,9811,5382
152,125278,2015,38556,JACKSONVILLE, FL,Sedan,3,0.7095376774663269,3937,892062
153,276006,2014,35754,COLUMBUS, OH,Sedan,4,0.6897342555515107,13820,3096
154,318850,2017,78,GAINESVILLE, FL,Sedan,1,0.7553555555555556,12899,732
155,125694,2015,32678,LAFAYETTE, IN,Truck,3,0.9252053610030264,22113,26440
156,36176,2013,51303,DANVILLE, KY,Truck,5,0.7238997214484679,2904,921
157,58810,2011,73196,COLUMBUS, OH,SUV,7,0.5031879194630873,13820,23128
158,331952,2017,6278,HUNTSVILLE, AL,Sedan,1,0.5662366268093141,25792,194585
159,350222,2016,37878,STOCKTON, CA,Sedan,2,0.4719949653870359,27089,195
160,174985,2015,23485,KNOXVILLE, TN,Sedan,3,0.7273389151801966,41459,2795
161,32413,2015,30770,SAVANNAH, TN,Sedan,3,0.45877910635619884,18532,146444
162,137130,2014,53589,MACON, GA,Truck,4,0.8633704735376044,9811,2537
163,348758,2014,30748,CHICO, CA,SUV,4,0.8555369127516779,8167,1116
164,238908,2014,82391,MILFORD, CT,Truck,4,0.8637434554973822,45251,1348
165,164356,2011,61583,ARLINGTON, TX,Sedan,7,0.3531111111111111,535499,2153
166,76281,2017,8013,MIAMI, FL,Sedan,1,0.8543111111111111,344881,13212
167,112792,2015,44842,WINCHESTER, VA,Sedan,3,0.4863436123348018,6785,531
168,160555,2014,31325,BIRMINGHAM, AL,Truck,4,0.5232198952879581,64553,210710
169,292977,2012,55957,HARRISBURG, PA,Sedan,6,0.6006552602839461,37181,8737
170,295127,2014,23,AURORA, CO,SUV,4,0.6674496644295302,208868,1043
171,351776,2012,78055,HOUSTON, TX,Truck,6,0.6126740947075209,490074,3464
172,129494,2005,198323,HOUSTON, TX,Sedan,13,0.17837641062977794,490074,2347
173,224574,2016,26854,EL PASO, TX,Truck,2,0.8898167539267016,29032,683577
174,134204,2015,29804,SALISBURY, MD,Sedan,3,0.6289406625409538,19659,33849
175,285466,2008,162401,JACKSONVILLE, NC,Truck,10,0.44559888579387186,3937,892062
176,274774,2013,73906,CANTON, MA,SUV,5,0.8375824567659119,16771,708
177,282527,2010,93801,BURLINGTON, NJ,Truck,8,0.633953019167027,5441,8783
178,158489,2008,171422,SACRAMENTO, CA,Truck,10,0.807799442896936,126352,441
179,364821,2005,152322,COLUMBUS, IN,Truck,13,0.2616492146596859,13820,157
180,211591,2016,36253,SALISBURY, MD,Sedan,2,0.4751415984896161,19659,1536
181,145903,2006,146746,COLUMBUS, OH,Sedan,12,0.13322222222222221,13820,0
182,350181,2016,18854,BRISTOL, TN,Sedan,2,0.5662366268093141,11966,16790
183,31207,2013,22020,MADISON, WI,Sedan,5,0.5095376774663269,49853,7322
184,159796,2013,49157,ATLANTA, GA,Truck,5,0.7302094240837697,385542,375
185,308877,2015,79870,SPRINGFIELD, TN,Truck,3,0.7719371727748691,10250,3119
186,301457,2015,11375,FORT WORTH, TX,Truck,3,0.9682460732984293,535499,874168
187,9300,2015,18545,ANDERSON, IN,SUV,3,0.9774412367881369,42108,10370
188,221961,2012,73363,FLORENCE, KY,SUV,6,0.3890967741935484,8555,32305
189,111078,2004,117958,MADISON, WI,Truck,14,0.3240524571263871,49853,7322
190,137850,2012,16526,CHESTER, VA,Truck,6,0.8114659685863874,28442,121
191,94909,2016,34685,FRANKLIN, TN,SUV,2,0.612741935483871,133251,8781
192,198867,2016,20016,MOUNT VERNON, WA,Truck,2,0.8866492146596858,6643,4529
193,36125,2010,92078,CINCINNATI, OH,SUV,8,0.4360738255033557,138033,340
194,66329,2012,53076,GREENVILLE, WI,Sedan,6,0.44893877551020406,8216,12771
195,29176,2012,61232,AUBURN, MA,SUV,6,0.566335384129989,5484,4710
196,178646,2011,21025,NORWICH, CT,Sedan,7,0.40657777777777776,15753,6718
197,326332,2012,105559,RICHMOND, VA,SUV,6,0.30161073825503354,24395,461
198,242640,2008,155250,COLUMBUS, OH,Truck,10,0.33147632311977715,13820,139
199,299394,2015,33741,ARLINGTON, VA,Sedan,3,0.43351164254247954,535499,583
200,137569,2016,34986,CLEVELAND, TN,SUV,2,0.5725806451612904,4343,717
201,16580,2015,14032,TAMPA, FL,Sedan,3,0.8109795918367347,146349,385430
202,349889,2016,26860,FAYETTEVILLE, NC,Sedan,2,0.5915670232850849,17263,209889
203,1025,2008,175193,TULSA, OK,Truck,10,0.4188219895287958,57746,401800
204,72373,2014,82229,COLUMBIA, KY,Truck,4,0.7771587743732591,192177,4881
205,68828,2014,33541,FORT LAUDERDALE, FL,Sedan,4,0.5453585729887149,344881,180072
206,174249,2014,56008,RIVERSIDE, CA,Sedan,4,0.42815555555555557,157931,25094
207,92076,2014,57609,MONROE, LA,Sedan,4,0.4719949653870359,8027,10604
208,61273,2014,42103,FRANKLIN, TN,SUV,4,0.9148130619971604,133251,8601
209,133205,2016,12327,TEXARKANA, TX,Truck,2,0.5809192200557103,5402,30259
210,31657,2016,32855,MADISON, TN,SUV,2,0.6644516129032259,49853,3823
211,350819,2011,92496,HOUSTON, TX,Truck,7,0.5365968586387434,490074,2347
212,43794,2014,43147,LAWTON, OK,SUV,4,0.8794762580848714,5155,962
213,174534,2017,4474,NORWALK, CA,Sedan,1,0.9197777777777778,98256,106084
214,349663,2012,63600,FRANKLIN, TN,Sedan,6,0.4886666666666667,133251,135
215,182163,2011,137443,DENTON, TX,Truck,7,0.5011142061281337,31196,249
216,24552,2012,73308,FRANKLIN, TN,SUV,6,0.4836774193548387,133251,8176
217,279390,2015,88432,GOLDSBORO, NC,SUV,3,0.5158064516129032,4492,35197
218,275535,2014,71304,JACKSONVILLE, FL,Truck,4,0.6541361256544502,3937,12612
219,231848,2016,35811,TAMPA, FL,Sedan,2,0.4436752674638137,146349,385430
220,259104,2016,7,MISSOULA, MT,Sedan,2,0.6876966645689113,5614,73340
221,99169,2001,175466,SAN DIEGO, CA,Sedan,17,0.12333333333333334,231845,4285
222,141148,2015,26687,AUBURN, MA,Sedan,3,0.8183836912995995,5484,1373
223,146094,2015,30587,COLUMBIA, IL,Truck,3,0.7978795811518324,192177,133114
224,351876,2005,177900,FARGO, ND,Truck,13,0.2496100278551532,16279,317
225,224251,2015,36919,ALEXANDRIA, VA,Sedan,3,0.47183763373190685,5991,13592
226,359003,2016,36152,LAFAYETTE, LA,Sedan,2,0.5341095028319698,22113,492
227,243349,2011,35868,PITTSBURGH, PA,SUV,7,0.5962139138665404,147367,302407
228,238104,2014,58321,COLUMBUS, OH,Sedan,4,0.5604295595194758,13820,5031
229,295819,2008,132705,ARLINGTON, VA,Sedan,10,0.22211111111111112,535499,1387
230,277809,2015,35117,CHARLOTTE, NC,Truck,3,0.994738219895288,174029,9057
231,151333,2014,40052,BURLINGTON, NJ,Sedan,4,0.5628979591836735,5441,9832
232,49671,2014,35328,SPRINGFIELD, NJ,Sedan,4,0.5688888888888889,10250,114868
233,326332,2012,105559,RICHMOND, VA,SUV,6,0.30161073825503354,24395,35397
234,256334,2006,101712,ROSEVILLE, CA,Sedan,12,0.17766666666666667,126352,36314
235,172559,2014,24863,MADISON, NJ,Sedan,4,0.579322897706589,49853,255214
236,219647,2015,43276,MADISON, WI,Sedan,3,0.449685336689742,49853,7322
237,216353,2012,94931,HOUSTON, TX,Truck,6,0.45903141361256544,490074,2312717
238,32823,2014,40900,LEXINGTON, KY,Sedan,4,0.5711111111111111,6455,2151
